model_label,interface_name,interface_label,train_size,updates,final_eval_loss,exact_match,f1,answer_contained,avg_prompt_tokens,truncated_count,source_summary
Llama-3.2-1B,raw_context,Raw context,500,32,0.898704,0.266667,0.379492,0.3,1427.7066666666667,1,rank_sweep/hotpotqa_lora_rank_sweep_summary.json
Llama-3.2-1B,raw_bm25_order,BM25 order,500,32,0.739202,0.343333,0.465297,0.373333,1427.7066666666667,1,rank_sweep/hotpotqa_bm25_order_lora_r8_n500_summary.json
Llama-3.2-1B,raw_bm25_top3docs,BM25 top 3 docs,500,32,1.482394,0.27,0.37589,0.3,431.5466666666667,0,rank_sweep/hotpotqa_bm25_window_lora_r8_n500_summary.json
Llama-3.2-1B,raw_bm25_top5docs,BM25 top 5 docs,500,32,1.104766,0.296667,0.413311,0.33,705.14,0,rank_sweep/hotpotqa_bm25_window_lora_r8_n500_summary.json
Llama-3.2-1B,raw_embed_order,Embed order,500,32,0.854826,0.3,0.418778,0.33,1427.71,1,rank_sweep/hotpotqa_embed_retrieval_lora_r8_n500_summary.json
Llama-3.2-1B,raw_embed_top3docs,Embed top 3 docs,500,32,1.600068,0.276667,0.371464,0.293333,421.37,0,rank_sweep/hotpotqa_embed_retrieval_lora_r8_n500_summary.json
Llama-3.2-1B,raw_embed_top5docs,Embed top 5 docs,500,32,1.486993,0.276667,0.385281,0.296667,691.1033333333334,0,rank_sweep/hotpotqa_embed_retrieval_lora_r8_n500_summary.json
Llama-3.2-1B,raw_crossenc_order,Cross-enc order,500,32,0.752009,0.326667,0.446273,0.353333,1427.71,1,rank_sweep/hotpotqa_crossenc_retrieval_lora_r8_n500_summary.json
Llama-3.2-1B,raw_crossenc_top3docs,Cross-enc top 3 docs,500,32,1.325083,0.31,0.428431,0.343333,413.4033333333333,0,rank_sweep/hotpotqa_crossenc_retrieval_lora_r8_n500_summary.json
Llama-3.2-1B,raw_crossenc_top5docs,Cross-enc top 5 docs,500,32,1.272395,0.306667,0.421115,0.336667,679.4033333333333,0,rank_sweep/hotpotqa_crossenc_retrieval_lora_r8_n500_summary.json
Llama-3.2-1B,raw_suptitle_order,Sup-title order,500,32,0.915616,0.293333,0.405326,0.32,1427.71,1,rank_sweep/hotpotqa_suptitle_retrieval_lora_r8_n500_summary.json
Llama-3.2-1B,raw_suptitle_top3docs,Sup-title top 3 docs,500,32,1.587373,0.236667,0.357892,0.26,368.97,0,rank_sweep/hotpotqa_suptitle_retrieval_lora_r8_n500_summary.json
Llama-3.2-1B,raw_suptitle_top5docs,Sup-title top 5 docs,500,32,1.322484,0.25,0.371398,0.28,608.7766666666666,0,rank_sweep/hotpotqa_suptitle_retrieval_lora_r8_n500_summary.json
Llama-3.2-1B,raw_ftcrossenc_order,FT cross-enc order,500,32,0.689117,0.35,0.462757,0.376667,1427.7066666666667,1,rank_sweep/hotpotqa_ftcrossenc_retrieval_lora_r8_n500_summary.json
Llama-3.2-1B,raw_ftcrossenc_top3docs,FT cross-enc top 3 docs,500,32,0.955479,0.336667,0.454369,0.36,404.5466666666667,0,rank_sweep/hotpotqa_ftcrossenc_retrieval_lora_r8_n500_summary.json
Llama-3.2-1B,raw_ftcrossenc_top5docs,FT cross-enc top 5 docs,500,32,0.758255,0.373333,0.475083,0.39,662.69,0,rank_sweep/hotpotqa_ftcrossenc_retrieval_lora_r8_n500_summary.json
Llama-3.2-1B,raw_support_first,Support first,500,32,0.636107,0.41,0.538658,0.443333,1427.7066666666667,1,rank_sweep/hotpotqa_evidence_quality_lora_r8_summary.json
Llama-3.2-1B,gold_supporting_sentences,Gold evidence,500,32,0.557893,0.47,0.604591,0.533333,157.93333333333334,0,rank_sweep/hotpotqa_lora_rank_sweep_summary.json
